2016-02-11 00:44:09,277 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 00:44:09,278 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigurationFile\src\main\resources
2016-02-11 00:44:09,281 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 00:44:09,282 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigurationFile\src\test\resources
2016-02-11 00:44:10,271 [Worker-94] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 14_lazy_WithOut_ConfigFile:14_lazy_WithOut_ConfigFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigurationFile\pom.xml.
2016-02-11 00:44:10,788 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 00:44:10,789 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigurationFile\src\main\resources
2016-02-11 00:44:10,793 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 00:44:10,794 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigurationFile\src\test\resources
2016-02-11 19:34:39,093 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 19:34:39,141 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigurationFile\src\main\resources
2016-02-11 19:34:39,147 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 19:34:39,148 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigurationFile\src\test\resources
2016-02-11 20:57:25,379 [Worker-50] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 18_Configuration_Bean_without_ConfigurationFile:18_Configuration_Bean_without_ConfigurationFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\pom.xml.
2016-02-11 20:57:34,698 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /18_Configuration_Bean_without_ConfigurationFile/src
2016-02-11 20:57:34,700 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /18_Configuration_Bean_without_ConfigurationFile/src/test/java because it overlaps with /18_Configuration_Bean_without_ConfigurationFile/src
2016-02-11 20:57:35,586 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
